order_id,customer_id,menu_id,menu_name,category,quantity,price_per_item,total_price,order_date,order_time,day_of_week,month,is_weekend
1,39,4,Sate Ayam,Main Course,2,28000,56000,2025-04-30,10:53:37.630914,Wednesday,April,False
2,39,1,Nasi Goreng,Main Course,3,25000,75000,2025-04-30,10:53:37.630914,Wednesday,April,False
3,39,6,Soto Ayam,Soup,1,20000,20000,2025-04-30,10:53:37.630914,Wednesday,April,False
4,39,8,Es Jeruk,Beverage,3,8000,24000,2025-04-30,10:53:37.630914,Wednesday,April,False
5,66,7,Es Teh Manis,Beverage,2,5000,10000,2025-04-30,20:59:37.630914,Wednesday,April,False
6,66,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,20:59:37.630914,Wednesday,April,False
7,66,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,20:59:37.630914,Wednesday,April,False
8,84,1,Nasi Goreng,Main Course,1,25000,25000,2025-04-30,10:20:37.630914,Wednesday,April,False
9,100,5,Gado-gado,Appetizer,1,18000,18000,2025-04-30,13:25:37.630914,Wednesday,April,False
10,100,4,Sate Ayam,Main Course,2,28000,56000,2025-04-30,13:25:37.630914,Wednesday,April,False
11,100,8,Es Jeruk,Beverage,3,8000,24000,2025-04-30,13:25:37.630914,Wednesday,April,False
12,100,2,Mie Goreng,Main Course,3,22000,66000,2025-04-30,13:25:37.630914,Wednesday,April,False
13,21,5,Gado-gado,Appetizer,2,18000,36000,2025-04-30,20:29:37.630914,Wednesday,April,False
14,21,3,Ayam Goreng,Main Course,2,30000,60000,2025-04-30,20:29:37.630914,Wednesday,April,False
15,21,9,Pisang Goreng,Dessert,2,12000,24000,2025-04-30,20:29:37.630914,Wednesday,April,False
16,69,9,Pisang Goreng,Dessert,2,12000,24000,2025-04-30,11:45:37.630914,Wednesday,April,False
17,91,5,Gado-gado,Appetizer,3,18000,54000,2025-04-30,11:17:37.630914,Wednesday,April,False
18,91,10,Es Campur,Dessert,2,15000,30000,2025-04-30,11:17:37.630914,Wednesday,April,False
19,91,2,Mie Goreng,Main Course,3,22000,66000,2025-04-30,11:17:37.630914,Wednesday,April,False
20,91,4,Sate Ayam,Main Course,2,28000,56000,2025-04-30,11:17:37.630914,Wednesday,April,False
21,63,7,Es Teh Manis,Beverage,1,5000,5000,2025-04-30,18:38:37.630914,Wednesday,April,False
22,25,8,Es Jeruk,Beverage,3,8000,24000,2025-04-30,13:34:37.630914,Wednesday,April,False
23,25,10,Es Campur,Dessert,3,15000,45000,2025-04-30,13:34:37.630914,Wednesday,April,False
24,91,5,Gado-gado,Appetizer,1,18000,18000,2025-04-30,20:00:37.630914,Wednesday,April,False
25,3,10,Es Campur,Dessert,3,15000,45000,2025-04-30,12:37:37.630914,Wednesday,April,False
26,40,5,Gado-gado,Appetizer,3,18000,54000,2025-04-30,18:21:37.630914,Wednesday,April,False
27,40,10,Es Campur,Dessert,3,15000,45000,2025-04-30,18:21:37.630914,Wednesday,April,False
28,40,1,Nasi Goreng,Main Course,3,25000,75000,2025-04-30,18:21:37.630914,Wednesday,April,False
29,40,9,Pisang Goreng,Dessert,1,12000,12000,2025-04-30,18:21:37.630914,Wednesday,April,False
30,92,1,Nasi Goreng,Main Course,1,25000,25000,2025-04-30,19:07:37.630914,Wednesday,April,False
31,92,3,Ayam Goreng,Main Course,1,30000,30000,2025-04-30,19:07:37.630914,Wednesday,April,False
