order_id,customer_id,menu_id,menu_name,category,quantity,price_per_item,total_price,order_date,order_time,day_of_week,month,is_weekend
1,86,8,Es Jeruk,Beverage,3,8000,24000,2025-04-30,17:59:56.877161,Wednesday,April,False
2,95,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,17:22:56.877161,Wednesday,April,False
3,95,3,Ayam Goreng,Main Course,2,30000,60000,2025-04-30,17:22:56.877161,Wednesday,April,False
4,95,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,17:22:56.877161,Wednesday,April,False
5,95,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,17:22:56.877161,Wednesday,April,False
6,79,5,Gado-gado,Appetizer,1,18000,18000,2025-04-30,16:44:56.877161,Wednesday,April,False
7,79,1,Nasi Goreng,Main Course,2,25000,50000,2025-04-30,16:44:56.877161,Wednesday,April,False
8,79,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,16:44:56.877161,Wednesday,April,False
9,46,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,14:42:56.877161,Wednesday,April,False
10,46,5,Gado-gado,Appetizer,3,18000,54000,2025-04-30,14:42:56.877161,Wednesday,April,False
11,46,8,Es Jeruk,Beverage,3,8000,24000,2025-04-30,14:42:56.877161,Wednesday,April,False
12,95,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,18:05:56.877161,Wednesday,April,False
13,15,3,Ayam Goreng,Main Course,1,30000,30000,2025-04-30,17:54:56.877161,Wednesday,April,False
14,15,9,Pisang Goreng,Dessert,2,12000,24000,2025-04-30,17:54:56.877161,Wednesday,April,False
15,15,7,Es Teh Manis,Beverage,3,5000,15000,2025-04-30,17:54:56.877161,Wednesday,April,False
16,10,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,13:52:56.877161,Wednesday,April,False
17,10,6,Soto Ayam,Soup,3,20000,60000,2025-04-30,13:52:56.877161,Wednesday,April,False
18,66,7,Es Teh Manis,Beverage,1,5000,5000,2025-04-30,21:42:56.877161,Wednesday,April,False
19,13,8,Es Jeruk,Beverage,1,8000,8000,2025-04-30,11:05:56.877161,Wednesday,April,False
20,13,6,Soto Ayam,Soup,2,20000,40000,2025-04-30,11:05:56.877161,Wednesday,April,False
21,13,2,Mie Goreng,Main Course,2,22000,44000,2025-04-30,11:05:56.877161,Wednesday,April,False
22,13,9,Pisang Goreng,Dessert,3,12000,36000,2025-04-30,11:05:56.877161,Wednesday,April,False
23,1,1,Nasi Goreng,Main Course,3,25000,75000,2025-04-30,21:52:56.877161,Wednesday,April,False
24,63,6,Soto Ayam,Soup,3,20000,60000,2025-04-30,13:16:56.877161,Wednesday,April,False
25,63,8,Es Jeruk,Beverage,1,8000,8000,2025-04-30,13:16:56.877161,Wednesday,April,False
26,63,1,Nasi Goreng,Main Course,3,25000,75000,2025-04-30,13:16:56.877161,Wednesday,April,False
27,63,7,Es Teh Manis,Beverage,2,5000,10000,2025-04-30,13:16:56.877161,Wednesday,April,False
28,81,4,Sate Ayam,Main Course,3,28000,84000,2025-04-30,10:25:56.877161,Wednesday,April,False
29,98,10,Es Campur,Dessert,2,15000,30000,2025-04-30,10:27:56.877161,Wednesday,April,False
30,98,6,Soto Ayam,Soup,1,20000,20000,2025-04-30,10:27:56.877161,Wednesday,April,False
31,98,4,Sate Ayam,Main Course,2,28000,56000,2025-04-30,10:27:56.877161,Wednesday,April,False
32,66,1,Nasi Goreng,Main Course,2,25000,50000,2025-04-30,15:43:56.877161,Wednesday,April,False
33,66,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,15:43:56.877161,Wednesday,April,False
34,66,7,Es Teh Manis,Beverage,1,5000,5000,2025-04-30,15:43:56.877161,Wednesday,April,False
35,66,6,Soto Ayam,Soup,2,20000,40000,2025-04-30,15:43:56.877161,Wednesday,April,False
36,48,6,Soto Ayam,Soup,2,20000,40000,2025-04-30,16:28:56.877161,Wednesday,April,False
37,48,5,Gado-gado,Appetizer,2,18000,36000,2025-04-30,16:28:56.877161,Wednesday,April,False
38,75,10,Es Campur,Dessert,2,15000,30000,2025-04-30,16:20:56.877161,Wednesday,April,False
39,75,1,Nasi Goreng,Main Course,2,25000,50000,2025-04-30,16:20:56.877161,Wednesday,April,False
40,73,7,Es Teh Manis,Beverage,3,5000,15000,2025-04-30,12:32:56.877161,Wednesday,April,False
41,73,6,Soto Ayam,Soup,3,20000,60000,2025-04-30,12:32:56.877161,Wednesday,April,False
42,73,10,Es Campur,Dessert,1,15000,15000,2025-04-30,12:32:56.877161,Wednesday,April,False
43,35,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,15:05:56.877161,Wednesday,April,False
44,12,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,11:35:56.877161,Wednesday,April,False
45,12,3,Ayam Goreng,Main Course,1,30000,30000,2025-04-30,11:35:56.877161,Wednesday,April,False
46,12,8,Es Jeruk,Beverage,1,8000,8000,2025-04-30,11:35:56.877161,Wednesday,April,False
47,47,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,17:21:56.877161,Wednesday,April,False
48,47,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,17:21:56.877161,Wednesday,April,False
49,93,2,Mie Goreng,Main Course,3,22000,66000,2025-04-30,13:10:56.877161,Wednesday,April,False
50,93,7,Es Teh Manis,Beverage,1,5000,5000,2025-04-30,13:10:56.877161,Wednesday,April,False
51,93,9,Pisang Goreng,Dessert,1,12000,12000,2025-04-30,13:10:56.877161,Wednesday,April,False
52,93,6,Soto Ayam,Soup,1,20000,20000,2025-04-30,13:10:56.877161,Wednesday,April,False
53,9,10,Es Campur,Dessert,3,15000,45000,2025-04-30,22:12:56.877161,Wednesday,April,False
54,97,10,Es Campur,Dessert,2,15000,30000,2025-04-30,17:16:56.877161,Wednesday,April,False
55,97,9,Pisang Goreng,Dessert,2,12000,24000,2025-04-30,17:16:56.877161,Wednesday,April,False
56,97,6,Soto Ayam,Soup,1,20000,20000,2025-04-30,17:16:56.877161,Wednesday,April,False
57,97,1,Nasi Goreng,Main Course,2,25000,50000,2025-04-30,17:16:56.877161,Wednesday,April,False
58,31,9,Pisang Goreng,Dessert,3,12000,36000,2025-04-30,21:28:56.877161,Wednesday,April,False
59,31,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,21:43:56.877161,Wednesday,April,False
60,31,2,Mie Goreng,Main Course,2,22000,44000,2025-04-30,21:43:56.877161,Wednesday,April,False
61,31,3,Ayam Goreng,Main Course,2,30000,60000,2025-04-30,21:43:56.877161,Wednesday,April,False
62,1,10,Es Campur,Dessert,2,15000,30000,2025-04-30,21:34:56.877161,Wednesday,April,False
63,3,7,Es Teh Manis,Beverage,2,5000,10000,2025-04-30,11:38:56.877161,Wednesday,April,False
64,3,2,Mie Goreng,Main Course,2,22000,44000,2025-04-30,11:38:56.877161,Wednesday,April,False
65,27,8,Es Jeruk,Beverage,1,8000,8000,2025-04-30,18:17:56.877161,Wednesday,April,False
66,27,6,Soto Ayam,Soup,2,20000,40000,2025-04-30,18:17:56.877161,Wednesday,April,False
67,27,7,Es Teh Manis,Beverage,1,5000,5000,2025-04-30,18:17:56.877161,Wednesday,April,False
68,27,5,Gado-gado,Appetizer,1,18000,18000,2025-04-30,18:17:56.877161,Wednesday,April,False
69,72,2,Mie Goreng,Main Course,3,22000,66000,2025-04-30,21:04:56.877161,Wednesday,April,False
70,72,7,Es Teh Manis,Beverage,3,5000,15000,2025-04-30,21:04:56.877161,Wednesday,April,False
71,47,7,Es Teh Manis,Beverage,3,5000,15000,2025-04-30,19:46:56.877161,Wednesday,April,False
72,47,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,19:46:56.877161,Wednesday,April,False
73,47,10,Es Campur,Dessert,3,15000,45000,2025-04-30,19:46:56.877161,Wednesday,April,False
74,36,3,Ayam Goreng,Main Course,3,30000,90000,2025-04-30,11:12:56.877161,Wednesday,April,False
75,36,7,Es Teh Manis,Beverage,2,5000,10000,2025-04-30,11:12:56.877161,Wednesday,April,False
76,36,5,Gado-gado,Appetizer,2,18000,36000,2025-04-30,11:12:56.877161,Wednesday,April,False
77,39,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,14:30:56.877161,Wednesday,April,False
78,39,4,Sate Ayam,Main Course,1,28000,28000,2025-04-30,14:30:56.877161,Wednesday,April,False
79,47,2,Mie Goreng,Main Course,1,22000,22000,2025-04-30,11:59:56.877161,Wednesday,April,False
80,47,9,Pisang Goreng,Dessert,2,12000,24000,2025-04-30,11:59:56.877161,Wednesday,April,False
81,55,3,Ayam Goreng,Main Course,1,30000,30000,2025-04-30,11:17:56.877161,Wednesday,April,False
82,55,8,Es Jeruk,Beverage,2,8000,16000,2025-04-30,11:17:56.877161,Wednesday,April,False
83,55,1,Nasi Goreng,Main Course,2,25000,50000,2025-04-30,11:17:56.877161,Wednesday,April,False
84,16,2,Mie Goreng,Main Course,2,22000,44000,2025-04-30,15:22:56.877161,Wednesday,April,False
85,16,1,Nasi Goreng,Main Course,3,25000,75000,2025-04-30,15:22:56.877161,Wednesday,April,False
86,90,3,Ayam Goreng,Main Course,2,30000,60000,2025-05-01,14:57:56.877161,Thursday,May,False
87,90,7,Es Teh Manis,Beverage,1,5000,5000,2025-05-01,14:57:56.877161,Thursday,May,False
88,90,9,Pisang Goreng,Dessert,3,12000,36000,2025-05-01,14:57:56.877161,Thursday,May,False
89,90,6,Soto Ayam,Soup,1,20000,20000,2025-05-01,14:57:56.877161,Thursday,May,False
90,5,5,Gado-gado,Appetizer,1,18000,18000,2025-05-01,11:36:56.877161,Thursday,May,False
91,5,1,Nasi Goreng,Main Course,2,25000,50000,2025-05-01,11:36:56.877161,Thursday,May,False
92,5,4,Sate Ayam,Main Course,3,28000,84000,2025-05-01,11:36:56.877161,Thursday,May,False
